	question	0	query	triples
0	If Gallu is a demon Lilu is what?	If Gallu is a demon Lilu is what?	If Gallu is a demon Lilu is what?	{'named_entities': ['Gallu', 'Lilu']}
1	Are Christopher Nolan and Sathish Kalathil both film directors?	Are Christopher Nolan and Sathish Kalathil both film directors?	Are Christopher Nolan and Sathish Kalathil both film directors?	{'named_entities': ['Christopher Nolan', 'Sathish Kalathil']}
2	What language were books being translated into during the era of Haymo of Faversham?	What language were books being translated into during the era of Haymo of Faversham?	What language were books being translated into during the era of Haymo of Faversham?	{'named_entities': ['Haymo of Faversham']}
3	Who directed the film that was shot in or around Leland, North Carolina in 1986	Who directed the film that was shot in or around Leland, North Carolina in 1986	Who directed the film that was shot in or around Leland, North Carolina in 1986	{'named_entities': ['Leland', 'North Carolina', '1986']}
4	Are Watertown International Airport and Alexandria International Airport both airports in the same state ?	Are Watertown International Airport and Alexandria International Airport both airports in the same state ?	Are Watertown International Airport and Alexandria International Airport both airports in the same state ?	{'named_entities': ['Watertown International Airport', 'Alexandria International Airport']}
5	Who wrote a song  after attending a luau in the Koolauloa District on the island of Oahu in Honolulu County?	Who wrote a song  after attending a luau in the Koolauloa District on the island of Oahu in Honolulu County?	Who wrote a song  after attending a luau in the Koolauloa District on the island of Oahu in Honolulu County?	{'named_entities': ['Koolauloa District', 'Oahu', 'Honolulu County']}
6	The manuscript for Flute Sonata in C major, BWV 1033 is in the hand of a German musician whose godfather is whom?	The manuscript for Flute Sonata in C major, BWV 1033 is in the hand of a German musician whose godfather is whom?	The manuscript for Flute Sonata in C major, BWV 1033 is in the hand of a German musician whose godfather is whom?	{'named_entities': ['Flute Sonata in C major', 'BWV 1033', 'German musician']}
7	Grace Krilanovich's first novel was published by an independent mom-and-pop publishing house that was founded in 2005, and is based where?	Grace Krilanovich's first novel was published by an independent mom-and-pop publishing house that was founded in 2005, and is based where?	Grace Krilanovich's first novel was published by an independent mom-and-pop publishing house that was founded in 2005, and is based where?	{'named_entities': ['Grace Krilanovich', '2005']}
8	Are both magazines, the Woman's Viewpoint and Pick Me Up, British publications?	Are both magazines, the Woman's Viewpoint and Pick Me Up, British publications?	Are both magazines, the Woman's Viewpoint and Pick Me Up, British publications?	"{'named_entities': [""Woman's Viewpoint"", 'Pick Me Up']}"
9	The runner-up in the 1999 World Drivers' Championship appears on the front cover of a racing video game developed by what company?	The runner-up in the 1999 World Drivers' Championship appears on the front cover of a racing video game developed by what company?	The runner-up in the 1999 World Drivers' Championship appears on the front cover of a racing video game developed by what company?	"{'named_entities': [""1999 World Drivers' Championship"", 'racing video game', 'company']}"
